FLEET,UNITTYPE,UNITNUMBER,MODEL,LASTDONE,DUEPERCENT,DUEMAINTENANCE,HEALTH
GE,TRACTOR,1501,Freightliner Cascadia 2018,24/05/2019,30,No Maintenance Due,Saludable
GE,TRAILER,1502,Fruehauf Caja 2018,24/05/2019,65,No Maintenance Due,Saludable
GE,DOLLY,1503,Dolly 2017,14/04/2019,65,No Maintenance Due,Saludable
GE,TRACTOR,1504,Freightliner Cascadia 2019,14/04/2019,40,No Maintenance Due,Saludable
GE,TRAILER,1505,Fruehauf Caja 2019,14/04/2019,10,No Maintenance Due,Saludable
GE,DOLLY,1506,Dolly 2018,15/06/2018,80,No Maintenance Due,Saludable
GE,TRACTOR,1507,Freightliner Cascadia 2017,15/06/2018,80,No Maintenance Due,Saludable
GE,TRAILER,1508,Fruehauf Caja 2020,15/06/2018,10,No Maintenance Due,Saludable
GE,DOLLY,1509,Dolly 2016,23/07/2019,20,No Maintenance Due,Saludable
Kellogs,TRACTOR,1510,Freightliner Cascadia 2018,23/07/2019,20,No Maintenance Due,Saludable
Kellogs,TRAILER,1511,Fruehauf Caja 2018,23/07/2019,30,No Maintenance Due,Saludable
Kellogs,DOLLY,1512,Dolly 2017,12/03/2019,30,No Maintenance Due,Saludable
Kellogs,TRACTOR,1513,Freightliner Cascadia 2019,12/03/2019,30,No Maintenance Due,Saludable
Kellogs,TRAILER,1514,Fruehauf Caja 2019,12/03/2019,10,No Maintenance Due,Saludable
Kellogs,DOLLY,1515,Dolly 2018,24/01/2019,65,No Maintenance Due,Saludable
Kellogs,TRACTOR,1516,Freightliner Cascadia 2017,24/01/2019,40,No Maintenance Due,Saludable
Kellogs,TRAILER,1517,Fruehauf Caja 2020,24/01/2019,10,No Maintenance Due,Saludable
Kellogs,DOLLY,1518,Dolly 2016,10/07/2019,80,No Maintenance Due,Saludable
Kellogs,TRACTOR,1519,Freightliner Cascadia 2018,10/07/2019,30,No Maintenance Due,Saludable
Bachoco,TRAILER,1520,Fruehauf Caja 2018,10/07/2019,30,No Maintenance Due,Saludable
Bachoco,TRACTOR,1522,Freightliner Cascadia 2019,24/05/2019,65,No Maintenance Due,Saludable
Bachoco,TRAILER,1523,Fruehauf Caja 2019,24/05/2019,40,No Maintenance Due,Saludable
Bachoco,TRAILER,1526,Fruehauf Caja 2020,14/04/2019,85,No Maintenance Due,Warning
Bachoco,TRACTOR,1528,Freightliner Cascadia 2018,15/06/2018,20,No Maintenance Due,Saludable
Larmex,DOLLY,1530,Dolly 2017,23/07/2019,30,No Maintenance Due,Saludable
Larmex,TRACTOR,1531,Freightliner Cascadia 2019,23/07/2019,40,No Maintenance Due,Saludable
Larmex,TRAILER,1532,Fruehauf Caja 2019,23/07/2019,30,No Maintenance Due,Saludable
Larmex,DOLLY,1533,Dolly 2018,12/03/2019,65,No Maintenance Due,Saludable
Larmex,TRAILER,1535,Fruehauf Caja 2020,12/03/2019,65,No Maintenance Due,Saludable
Larmex,DOLLY,1536,Dolly 2016,24/01/2019,80,No Maintenance Due,Saludable
